Timestamp,snack_name,time_of_day,salty_sweet,healthy_level,calories_per_serving,protein_grams,sugar_grams,sodium_mg,number_of_ingredients,why_eating,cost,location,day_type
8/31/2022 9:27:27,BLUE DIAMOND ALMONDS BOLD Spicy Dill Pickle,afternoon,Salty,3,260,8,2,190,14,because I like pickles ,$0 to < $1,School,School Day
8/31/2022 9:38:12,Honey Cheerios,night,Sweet,3,210,6,12,340,10,hungry,$0 to < $1,School,School Day
8/31/2022 9:39:40,Rice Krispies Treat,morning,Sweet,2,90,0,8,105,24,I am hungry and this is my lunch tbh </3,$0 to < $1,School,School Day
8/31/2022 9:40:33,non fat plain Greek yogurt ,morning,Sweet,4,90,15,4,65,6,because I think its tasty ,$0 to < $1,Home,School Day
8/31/2022 9:42:09,Vitamin Water: tropical citrus.,morning,Sweet,4,100,0,27,0,16,Delicious,$1 to < $3,School,School Day
8/31/2022 9:42:10,Zbar,morning,Sweet,3,150,2,10,105,14,It's an easy on the go snack ,$1 to < $3,School,School Day
8/31/2022 9:56:05,Stretch Island Fruit Leather,morning,Sweet,3,50,0,10,0,6,I need to eat something before I get to school,$0 to < $1,Other,School Day
8/31/2022 11:12:55,monster energy,morning,Sweet,3,10,0,0,310,21,Insomnia,$1 to < $3,School,School Day
8/31/2022 11:13:54,Good to go bar,morning,Sweet,4,170,6,2,159,12,"Its filling, for when I get hungry before I go to lunch.",$3 to < $7,School,School Day
8/31/2022 11:15:26,hot fudge,night,Sweet,1,130,0,18,50,9,sad,$3 to < $7,Home,School Day
8/31/2022 11:15:29,Sun Chips: Garden Salsa,evening,Salty,1,140,2,2,140,23,I was looking for a snack after a volleyball game and the school had a vending machine with these chips,$1 to < $3,School,School Day
8/31/2022 11:16:03,roasted seaweed snack,afternoon,Salty,5,30,1,0,40,3,Yummy,$0 to < $1,School,School Day
8/31/2022 11:16:31,quaker chewy yogurt granola bar,morning,Sweet,2,140,2,11,11,11,It's my snack for the day and is delicious,$3 to < $7,School,School Day
8/31/2022 11:17:32,Hostess Chocolate Frosted Donettes,morning,Sweet,2,70,4.33333,4.6666667,35,5,It’s good because I was craving it,$1 to < $3,School,School Day
8/31/2022 11:19:35,nutella ,morning,Sweet,1,200,2,21,15,8,Because I'm going to eat a nutella sandwhich,$3 to < $7,Home,School Day
8/31/2022 11:19:37,boomchickapop:  sweet & salty,afternoon,Sweet,4,140,8,8,110,4,I wanted to chew something and that was all I had,$7 or more,School,School Day
8/31/2022 11:19:41,Chocolate Chip Eggo Waffles,morning,Sweet,2,200,4,9,370,14,hungry,$0 to < $1,School,School Day
8/31/2022 11:20:08,nature valley sweet and salty nut granola bar,morning,Sweet,3,170,4,7,140,26,Energy. ,$0 to < $1,School,School Day
8/31/2022 11:22:20,Motts Fruit Snacks,afternoon,Sweet,3,80,0,9,35,18,It was in my lunch,$7 or more,School,School Day
8/31/2022 11:34:27,nature's bakery fig bar,morning,Sweet,3,200,3,19,80,11,breakfast to go,$1 to < $3,School,School Day
8/31/2022 11:34:41,Quaker chewy chocolate chip,morning,Sweet,3,100,1,7,70,16,didn't have time to eat breakfast,$3 to < $7,Home,School Day
8/31/2022 11:35:08,Dunkin Donut Chocolate Butternut Donut,morning,Sweet,1,430,4,32,420,10,sweet and yummy,$0 to < $1,School,School Day
8/31/2022 12:56:48,popcorn,afternoon,Salty,2,150,2,0,150,3,hungry and have no lunch,$1 to < $3,School,School Day
8/31/2022 13:00:31,Takis,afternoon,Salty,1,150,2,1,420,21,Delicious,$1 to < $3,School,School Day
8/31/2022 13:47:28,Takis fuego,afternoon,Salty,1,150,2,1,420,21,Delicious,$1 to < $3,School,School Day
